,dog,height,weight,life_expectancy,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs,popularity_rank,color,marking,breed_info,health,grooming,excercise,training,nutrition
78,Chinese-Shar-Pei,18-20 inches,45-60 pounds,8-12 years,4,3,3,3,1,3,Smooth,Short,3,3,4,4,3,3,3,3,64 of 202,Black-Blue-Brown-Cream-Fawn-Red-Red Fawn-Red Sable-White-Fawn Sable-Cream Sable-Apricot Dilute-Blue Dilute-Lilac Dilute-Cream Dilute-Chocolate Dilute-Five Point Red Dilute-Isabella Dilute-Black Sable-Blue Sable-Brown Sable,White Markings-Brindle-Sable-Mask-Spotted On White-Pointed-Saddle Pattern,"This fascinating but challenging breed of ancient pedigree is steadfastly loyal to family, but standoffish with strangers. The Chinese Shar-Pei has physical characteristics that make him a one-of-a-kind companion and guardian dog.
The compact, medium-sized Chinese Shar-Pei is an amalgam of odd physical traits: a broad 'hippopotamus' muzzle; a blue-black tongue; small, sunken eyes with a scowling expression; tiny triangular ears; abundant folds of loose skin about the head, neck, and shoulders; the tapered high-set tail'¿all blanketed by a harsh, sandpapery coat. (A literal translation of Shar-Pei: 'sand skin.')



 Shar-Pei are strong, regal, independent guardians famous for intelligence and loyalty. They are suspicious of strangers and other dogs. Shar-Pei are serene dogs, but they will meet a perceived threat with tenacity and vigor. Early training and socialization are essential'¿a dominant adult Shar-Pei without them is a serious problem waiting to happen.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","There are some unusual and specific health concerns in the Chinese Shar-Pei breed. One of the major problem areas is the eyes; eye disorders including entropion, glaucoma, retinal dysplasia, and SARDS are known to occur in the breed. Other conditions that can occur include respiratory, cardiovascular, musculoskeletal, immune-mediated, skin, and gastrointestinal disorders, and certain cancers. The website of the breed's national parent club, the Chinese Shar-Pei Club of America, provides detailed breed-health information for owners.","The Chinese Shar-Pei requires only minimal grooming. They need a bath only every month or so. Nails should be trimmed once a week, ideally using a grinder. The ears should be cleaned weekly, but don't overdo the products. The pup should be accustomed at a young age to having his ears cleaned regularly. Do not use cotton swabs, and do not use hydrogen peroxide. The best way to clean the ear canal is to ""float' debris out of the canal using an ear-cleaning solution. A wide variety of good solutions are available on the market and from the veterinarian.","Individual dogs Shar-Pei vary in their exercise needs. This is a very adaptable breed. They can do well with a very active owner, walking every day, or living in an apartment with a few short walks. The breed also exercises mind and body by participating in obedience, tracking, agility, rally, and other activities that can be enjoyed by dog and owner.","One breed expert says, 'Get a jump-start on basic obedience, and don't let the dog be the boss!' Shar-Pei are smart and willing, but sometimes they are stubborn and a bit too smart, thinking of new ways to do things you may not be thrilled with. If you teach them with love and consistency, however, they are a joy. Early socialization and puppy training classes are recommended and help to ensure that the Shar-Pei grows into a well-adjusted, well-mannered companion."
79,Chinook,24-26 inches (male),55-90 pounds (male),12-15 years,4,5,5,3,3,1,Smooth,Medium,3,3,4,4,4,3,5,3,190 of 202,Black-Black & Tan-Buff-Fawn-Gray & Tan-Red Gold-Silver Fawn-Tawny-White-Palomino-Gray Red,White Markings-Black Mask-Buff Markings,"The pride of Wonalancet, New Hampshire, the Chinook is a rugged working dog and devoted family pet known for intelligence, patience, and eagerness to please. Once on the verge of extinction, the Chinook is among the scarcest AKC breeds.
Tawny-coated, no-frills Chinooks are muscular and substantial, with males standing as high as 26 inches at the shoulder. Females, with their distinctly feminine look, are a bit smaller. Chinooks were conceived as dual-purpose haulers, with the power of freighting dogs and the speed of sled racers. They are the picture of stouthearted dignity, with a kindly twinkle in their dark, almond eyes.



 Chinooks are calm, people-oriented dogs with a special feel for children. They are trainable workers who aim to please. Sledding, carting, obedience, agility, search-and-rescue work, and herding are a few pursuits they've mastered. Chinooks are not particularly busy dogs, but they need consistent exercise to stay in proper hard condition.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Chinook is a robust, healthy breed, but there are certain health conditions that it is prone to. These include hip dysplasia, cryptorchidism (the absence of one or both testes from the scrotum), gastrointestinal disorders, and allergies. Some Chinooks suffer from a condition called 'Chinook seizures,' although it is generally thought to be a movement disorder and not true seizures. As with all breeds, a Chinook's ears should be checked regularly for signs of infection, and the teeth should be brushed often.","The Chinook's plush double coat is fairly easy to care for. Like all mammals, Chinooks shed a bit throughout the year. Weekly brushing will help to remove dirt and loose hair and keep the dog looking his best. Longer, daily brushing sessions will be required during shedding season, which generally occurs twice a year, but happens more often with spayed or neutered animals. As with all breeds, the nails should be trimmed regularly, as overly long nails can be painful to the dog and cause problems walking and running.","While they often appear relaxed and mellow around the house, Chinooks have a tremendous amount of energy, and they thrive on exercise and play. Because they bond strongly with their owners, they make great companions on long walks, hikes, bicycle rides, and camping trips. They even enjoy swimming and boating with their human family. Of course, Chinooks were bred to pull sleds, so it's no surprise that they excel at sports such as sledding, skijoring, bikejoring, and scootering. Chinooks also enjoy participating in agility, obedience, rally, tracking, and lure coursing events.","Early socialization and puppy training classes are recommended for all dogs and help to ensure that the Chinook grows into a well-adjusted, well-mannered companion. Chinooks are easy to train using positive reinforcement techniques. Unlike most sledding breeds, they can be reliable off-leash. Chinooks, especially young ones, are enthusiastic and affectionate, and they tend to jump up and go face to face with human friends and family members unless they are trained early on not to do so. Because of his friendly, confident, outgoing personality, no amount of training will make a guard dog out of a Chinook."
80,Chow-Chow,17-20 inches,45-70 pounds,8-12 years,4,3,2,3,3,3,Smooth-Rough-Double,Medium,2,3,5,3,3,3,1,3,75 of 202,Black-Blue-Cinnamon-Cream-Red,,"The Chow Chow, an all-purpose dog of ancient China, presents the picture of a muscular, deep-chested aristocrat with an air of inscrutable timelessness. Dignified, serious-minded, and aloof, the Chow Chow is a breed of unique delights.
Chows are powerful, compactly built dogs standing as high as 20 inches at the shoulder. Their distinctive traits include a lion's-mane ruff around the head and shoulders; a blue-black tongue; deep-set almond eyes that add to a scowling, snobbish expression; and a stiff-legged gait. Chows can have rough or smooth coats of red, black, blue, cinnamon, or cream.



 Owners say Chows are the cleanest of dogs: They housebreak easily, have little doggy odor, and are known to be as fastidious as cats. Well-socialized Chows are never fierce or intractable, but always refined and dignified. They are aloof with strangers and eternally loyal to loved ones. Serene and adaptable, with no special exercise needs, Chows happily take to city life.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Health issues for the Chow Chow may include eyelid entropion, hip dysplasia, elbow dysplasia, allergies, and thyroid function. These issues may be minimized by health screening, responsible breeding, and regular health care and can be diagnosed and managed with veterinary care. Extensive and detailed information on the breed's health can be found on the website of the Chow Chow Club, Inc.","Both the rough- and smooth-coated Chows have a profuse double coat and require regular grooming. Thorough brushing at least twice per week and a monthly bath can keep the dog's skin and coat healthy. Be sure to immediately remedy any parasite issues, such as fleas or ticks. Include eye and ear care with each grooming, and trim nails regularly. Puppy coat and the coat around the head can become badly matted if not groomed regularly. Care must be taken to remove all mats and brush or comb through the undercoat. It is preferable to use a cool air dryer to thoroughly dry the Chow after a bath.","The Chow Chow is an active and alert dog with moderate exercise needs. The Chow requires daily walks and moderate play with toys, with minimal rough play or high-impact exercise. Avoid exercise during hot periods of the day, as the breed does not tolerate high heat or humidity well. A moderate-paced walk four or more times a day will help to keep Chow and owner happy and healthy, and doing activities together enhances the human-canine bond.","Early socialization and puppy training classes are recommended and help to ensure that the Chow grows into a well-adjusted, well-mannered companion. Patience and positive, consistent reinforcement are the keys to successful training. The Chow Chow is a very intelligent dog but can be stubborn. Harsh training methods are to be avoided in order to develop a trusting relationship. Patience, praise, and regular practice are the best tools to use with your Chow."
81,cirneco-delletna,18-19.5 inches (male),22-26 pounds (male),12-14 years,4,3,4,1,1,1,Smooth,Short,3,4,3,4,4,3,2,3,183 of 202,Tan,White Markings,"The sleek and sinewy Cirneco dell'Etna, the ancient coursing hound of Sicily, is an athletic hunter given to quick bursts of speed. As housedogs, Cirnechi are mild, low-maintenance companions cherished for their loyal and gentle nature.
Standing under 20 inches, the Cirneco ('cheer-NEK-o'; Cirnechi is the plural) is often described as resembling a smaller version of the Pharaoh Hound, its cousin from the island of Malta. This slender but rugged hunter's coat ranges from light to dark tan or chestnut. The large, upright ears point up the alert expression of the eyes, whose amber or ochre color smartly complements the coat.



 In many ways, these lithe and leggy Sicilians are typical sighthounds: sweet-natured, independent and, of course, breathtakingly swift. It is said, though, that Cirnechi are a bit more trainable than the usual sighthound. These living artifacts of antiquity have sprinted into the 21st century relatively unchanged by passing fads and fancies.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Cirneco dell'Etna is a very hardy and healthy breed. Given excellent nutrition, regular veterinary care, parasite control, and the mental and physical stimulation he needs, he will be a happy and long-lived companion. Every week the owner should do a quick check of the dog's ears for any signs of infection, and the Cirneco's teeth should be brushed often, using a toothpaste designed for dogs.","The Cirneco's short-haired, smooth coat requires minimal care. Gentle weekly brushing with a soft bristle brush or hound glove should keep him looking his best, with an occasional bath only as needed. His ears should be regularly inspected for dirt or buildup of excess wax and cleaned if needed with soft gauze and an ear-cleaning solution'¿the dog's breeder or the veterinarian can recommend a good brand to use. The nails should be trimmed often if not worn down naturally, as overly long nails can cause the dog discomfort.","Moderate physical exercise and mental stimulation are essential to satisfy the Cirneco's intensely intelligent and inquisitive nature. He does best when he has a function, whether that means competing in the show ring or other canine events or being an interactive family member. He enjoys long walks and activities with his people. Because of his strong hunting instincts, he should not be allowed off lead in areas that are not securely enclosed, as he may not be able to resist the urge to run off after perceived prey. He does well with a fenced backyard where he can enjoy playtime with his owner, although he should not be just left alone outside with no attention for long periods, as he would be lonely and unhappy.","The Cirneco has a strong, independent temperament necessary for a hunter but is friendly and affectionate and makes an excellent family pet. They respond well to gentle methods of training and can be successfully trained for obedience, rally, agility, tracking, and of course the breed's historical reason for existence: hunting. Many Cirnechi especially enjoy lure coursing. Due to the breed's strong prey drive, care must be exercised when introducing the Cirneco to cats and small animals. Early socialization and puppy training classes are recommended and help to ensure that the Cirneco grows into a well-adjusted, well-mannered companion."
82,Clumber-Spaniel,18-20 inches (male),70-85 pounds (male),10-12 years,4,3,3,3,2,4,Wavy-Silky,Medium,4,3,3,4,4,3,1,3,143 of 202,White,Lemon Markings-Orange Markings,"A dignified and mellow hunting companion of kings, the Clumber Spaniel is the largest of the AKC flushing spaniels. For those who can handle some shedding and drooling, the amiable Clumber is an amusing best friend and a gentlemanly housemate.
Clumber Spaniels are powerful bird dogs of heavy bone, built long and low, with a massive head. They stand 17 to 20 inches; a small female might be 55 pounds, and a large male could go 85 pounds. Built to push through thick cover in the field, Clumber movement is nonetheless free and easy. The dense coat is primarily white, with sparse lemon or orange markings.



 Clumbers are sweet and easygoing at home, but these outdoorsy fellows can be relentless on scent. Smart and eager-to-please Clumbers respond well to training. Though a bit wary around strangers, Clumbers are friendly dogs who bark only when they have something to say, and so make indifferent watchdogs. They love swimming and fetching, and are sturdy childhood playmates.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","Clumbers are generally a healthy breed, although certain conditions are sometimes seen, including hypothyroidism (with side effects of skin and ear issues) and entropion or ectropion (eyelids that turn either in or out). Like many other large breeds, growing too rapidly can cause eosinophilic panosteitis in Clumber puppies'¿something they usually outgrow. Hip dysplasia also occurs in the breed. Because the Clumber body is quite long, they are also somewhat predisposed to intervertebral disc disease (cervical and thoracic). Immune mediated hemolytic anemia has been encountered in some Clumbers; all should avoid being treated with sulfa drugs.","As with all breeds with heavy, lowset ears, routine cleaning of the ears is a must to avoid ear infections. The heavy folds on the head require regular once-overs with a damp cloth. Wrinkles that are not kept dry can easily set up a yeast infection that has a bad odor and is unpleasant for the dog. Nails should be kept short with monthly trims. Bathing once a month is usually sufficient for a dog who isn't working regularly in the field. Clumbers don't require a lot of trimming; their coat is very easy care, requiring little more than a thorough grooming with a brush and a medium comb once or twice a week.","Despite their lumbering appearance, the Clumber can be a very active dog. They will benefit from long walks, taking occasional breaks to sniff around. Clumbers love to retrieve, so they can get ample exercise right in their own backyard, chasing after a tennis ball and enjoying time spent with their owner.","The Clumber is steady and reliable, thorough and tenacious. These traits can sometimes make them a challenge to train, because they tend to stop and think things through before deciding to do them. Keep training sessions interesting to keep their attention on learning instead of searching for something more fun to do. Most will require a reason to do as they are told. They do not take well to a heavy-handed trainer, however."
83,Cocker-Spaniel,14.5-15.5 inches (male),25-30 pounds (male),10-14 years,4,5,5,3,4,2,Double-Silky,Long,4,3,3,4,4,4,3,3,30 of 202,Black-Black & Tan-Black & White-Black White & Tan-Blue Roan-Blue Roan & Tan-Brown-Brown & White-Brown White & Tan-Buff-Cream-Golden-Red-Red & White-Sable-Sable & White-Silver-Brown & Tan-Buff & White-Red Roan-Brown Roan-Brown Roan & Tan,Ticked-Roan-White Markings-Merle Markings,"The merry and frolicsome Cocker Spaniel, with his big, dreamy eyes and impish personality, is one of the world's best-loved breeds. They were developed as hunting dogs, but Cockers gained their wide popularity as all-around companions.
Those big, dark eyes; that sweet expression; those long, lush ears that practically demand to be touched'¿no wonder the Cocker spent years as America's most popular breed. The Cocker is the AKC's smallest sporting spaniel, standing about 14 to 15 inches. The coat comes in enough colors and patterns to please any taste. The well-balanced body is sturdy and solid, and these quick, durable gundogs move with a smooth, easy gait.



 Cockers are eager playmates for kids and are easily trained as companions and athletes. They are big enough to be sporty, but compact enough to be portable. A Cocker in full coat rewards extra grooming time by being the prettiest dog on the block. These energetic sporting dogs love playtime and brisk walks.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Cocker Spaniel's national parent club, the American Spaniel Club, has a health committee that looks at breed health issues and makes recommendations to breeders for required health testing.The Cocker Spaniel has good longevity. A conscientious breeder can furnish records of the sire's and dam's health testing, for example for hips, patellas, and eyes. Breeders often have years of data regarding testing done in these health areas. Learn from the veterinarian proper procedures to clean the Cocker's ear canals on a regular basis, especially following a bath, in order to avoid infections. Thorough grooming of the Cocker coat will aid in preventing mats, which can precipitate skin problems underneath.","Cocker Spaniels require regular, thorough grooming. Sessions missed are not easily made up and may result in tangles or mats in the Cocker's coat. A metal, professional-quality dog comb with fine and medium spacing for the teeth is a necessity. You can follow combing with a gentle slicker brush, but the comb is key. Loose hair should be carefully removed with the comb, making sure you are clear and can see through to the skin everywhere. If you encounter snarls, do not pull through; rather, pick snarls apart, starting at the tips of the coat and then comb through. Be cautious when combing ears; the skin at the edges is thin and can be pierced by too-vigorous combing. The Cocker requires thorough bathing with quality dog shampoo. Thorough rinsing and re-rinsing are crucial, as soap residue can cause skin irritation. Dry carefully with a blow-dryer on not too hot a setting. Learn the procedure for cleaning and drying the ear canals. During bathing, check the Cocker's skin for any inflamed spots and get treatment. It is key to learn grooming procedures yourself and/or enlist the services of a professional groomer who likes and is experienced in grooming the breed.","The Cocker Spaniel is a sporting breed and should maintain good muscle tone, although the breed is not one that needs a lot of exercise for the purpose of discharging an abundance of energy. Cockers often enjoy getting their exercise by means of retrieving a ball or other toy, or accompanying their people on a walk. They very much enjoy spending time with their people, so walking is a good exercise option. If the Cocker has a canine companion, they can play to exercise each other. The Cocker Spaniel wants to please people and enjoys play, so these are tools you can use to encourage exercise.","Regarding training the Cocker Spaniel, the good news is that in general this is a people-pleasing breed. They want to be 'good' in order to please their people, and they are generally sensitive and responsive to correction and a disapproving tone in their owner's voice. Harsh means of correction are not usually warranted, nor are they productive in the Cocker. The breed enjoys the challenge of performance activities, and it is a good idea to try out the available activities and events to see what interests your individual Cocker and follow through with training. Early socialization and puppy training classes are recommended. Cockers are rather easily motivated with food rewards and with play and praise."
84,Collie,24-26 inches (male),60-75 pounds (male),12-14 years,4,5,3,3,3,2,Smooth-Rough,Short-Long,3,4,3,4,4,3,5,3,38 of 202,Black White & Tan-Blue Merle-Blue Merle & White-Blue Merle White & Tan-Sable-Sable & White-Sable Merle-White-Sable Merle & White-White Merle,Sable-Black & Tan Markings-Blue Merle Markings-Sable Merle Markings,"The majestic Collie, thanks to a hundred years as a pop-culture star, is among the world's most recognizable and beloved dog breeds. The full-coated 'rough' Collie is the more familiar variety, but there is also a sleek 'smooth' Collie.
The Collie is a large but lithe herder standing anywhere from 22 to 26 inches tall. The rough variety boasts one of the canine kingdom's most impressively showy coats; the smooth coat's charms are subtler but no less satisfying. Coat colors in both varieties are sable and white, tricolor, blue merle, or white. Collie fanciers take pride in their breed's elegant wedge-shaped head, whose mobile ears and almond eyes convey a wide variety of expressions.



 Collies are famously fond of children and make wonderful family pets. These swift, athletic dogs thrive on companionship and regular exercise. With gentle training, they learn happily and rapidly. The Collie's loyalty, intelligence, and sterling character are the stuff of legend.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Collie Health Foundation has invested lots of research dollars to identify and solve health issues, and their website offers great information on health issues in the breed. The minimum requirement is for puppies between 6-8 weeks old to have an eye check by a board-certified veterinary ophthalmologist for Collie eye anomaly, an inherited eye disease. Some Collies may also have a sensitivity to certain drugs, known as the MDR1 mutation. More information can be found on this at http://vcpl.vetmed.wsu.edu. Collies typically live from 12 to 14 years and are as a rule healthy, but after doing their research prospective buyers should ask questions of breeders and have an understanding of what health guarantees can be provided.","Smooth Collies, while they won't mat, require regular grooming, as they have a double coat, and the undercoat needs brushing out during shedding periods. Rough Collies need attention to avoid matting, especially in certain areas such as behind the ears and elbows, and to remove loose undercoat. A weekly brushing down to the skin eliminates that problem and keeps the coat and skin healthy. If females are spayed, they do a big shed once a year; if intact, females shed about three months after their heat cycle, and males around their birthday, so those times require a little extra grooming.","While there are variations among individuals and families, Collies generally are quite active and require regular exercise. They need aerobic exercise and the chance to be able to run and play. Teaching them to fetch can provide good exercise, and having a fenced yard where they can run and going on daily walks help too. They should not be relegated to the backyard for long periods of time, as with boredom comes barking. Collies are people dogs and want to be with their owners first and foremost. Ideally a Collie will be ready to go when it's time to go, and able to chill when it's time to chill.","While Collies are very smart and easy to train, puppy classes are recommended for general socialization and training. But it shouldn't end there. Collies love training and learning, and both make for a better companion and build a good relationship with the owner and family. Collies thrive on positive teaching methods. They excel in obedience, agility, and herding, and even barn hunt and lure coursing, and owners will discover something fun to do with their dog!"
85,Coton-de-Tulear,10-11 inches (male),9-15 pounds (male),15-19 years,5,5,5,2,4,1,Double-Wavy,Long,5,4,3,4,4,3,1,3,81 of 202,Black-White,White Markings-Gray Markings-Tri Color Markings-Yellow Markings,"The Coton de Tulear, 'Royal Dog of Madagascar,' is a bright, happy-go-lucky companion dog whose favorite activities include clowning, cavorting, and following their special human around the house. The Coton is small but robustly sturdy.
The Coton de Tulear (KO-Tone Dih TOO-Lay-ARE) is a small, immensely charming dog standing between 9 and 11 inches high and weighing anywhere from 8 to 13 pounds. Cotons are known for a profuse white coat that is as soft as cotton (or, as the French say, 'coton'). Their primary job is to provide amusement, comfort, and companionship.



 The bond between Cotons and their people is so tight that owners discuss it in human terms. Coton fanciers describe them as 'witty' companions 'at times boisterous but never demanding' and 'naturally clownish and lighthearted,' who possess a 'remarkably gentle, sympathetic awareness.' Amusing traits of these long-lived jesters include unique vocalizations and a knack for walking on their hind legs.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The Coton de Tulear has remained fairly free of genetic health issues. That is not to say that they do not exist, but that any incidences are of an extremely low percentage. In the Coton, known incidences are usually in the one- to five-percent range. Coton breeders are working diligently to keep the breed as problem free as possible by doing genetic screening of all breeding stock. Occasionally eye problems and hip dysplasia do occur in the breed. As with all small breeds, there is a chance of luxating patellas, and spinal disc disease has been known to occur.","Grooming the Coton puppy is a breeze. During that time you should groom him regularly and ensure that he learns to see grooming sessions as positive times of bonding with his person. Unless you are going to keep your Coton in a short 'puppy clip,' your dog will require a great deal of brushing. You must be careful to get your comb and brush all the way to the skin (gently) during daily brushing, or the hair next to the skin will mat and if this is too extensive your dog may need to be shaved down. You should use a spray conditioner while brushing to avoid breakage. A couple of times a week, check the ears and remove any excess hair, wax, or debris to avoid ear infections.","The Coton is a fairly active dog who requires a moderate amount of exercise. Daily walks with his human at a slow speed will keep him in good weight and condition. Chasing a tennis ball around his backyard can keep his mind active as well as his body. A bored and unhappy Coton can become destructive. He does best when provided with enough exercise, lots of attention from his owner, and plenty of interesting toys to keep him occupied.","The Coton is an alert dog and naturally territorial. Cotons should be well socialized from an early age so that they will enjoy going with you wherever you go. Obedience training is a good idea, for socialization as well as reinforcing lessons and manners. A bored Coton will be unable to learn anything. Keep your training sessions lively and entertaining for best results. Cotons respond poorly to negative training practices but will excel in most dog-sport activities when trained with positive methods. They do well in agility and obedience and make excellent therapy dogs."
86,Croatian-Sheepdog,16-20 inches,29-44 pounds,13-14 years,3,3,3,2,1,3,Double-Wavy,Medium,2,3,5,2,3,3,3,3,,Black,,"The Croatian Sheepdog is an agile, helpful and humble shepherd dog, self-reliant to his owner, brave and trustworthy. He is the true master of his flock, often running through the back of the herd to get to the point of intervention as soon as possible.
Petar Horvat, the bishop of Djakovo, wrote in 1374 that Croats had brought a shepherd dog along on the move to their new land. He referred to the dog as Canis Pastoralis Croaticus'the Croatian Shepherd Dog. The bishop of Djakovo, Peter Bakic also wrote about the Croatian Sheepdog in his 1719 manuscript 'On the Life of the People and Raising of Stock in Djakovo and it's Surroundings in 1719'. He quoted the words written by Bishop Petar in 1374 and, providing his own description of the dog, stated that the Croatian Sheepdog had not changed since the record (from 1374 to 1719) and had not changed in appearance from that described by Bishop Petar in 1374. A systematic selection breeding program was started by the ""father of the breed"" - veterinarian Prof Dr Stjepan Romic in 1935 with dogs in the territory of Djakovo. After 34 years of work, the breed was recognized by the FCI in 1969.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
",The Croatian Sheepdog is an overall healthy breed.,"The Croatian Sheepdog is an easily cared for breed. Occasional baths, a combing or bushing to remove dead hair, and regular nail care is sufficient for this wash-and-wear breed.","Croatian Sheepdogs are very energetic dogs. Though they are calm and relaxed in the house, once outside they appreciate a good run. Not surprisingly, a Croatian Sheepdog excels at flyball, obedience, herding, and frisbee. They are quite playful and can be mischievous, particularly when it comes to digging. They are also noted for their extraordinary jumping ability. A well-exercised Croatian Sheepdog is a Croatian Sheepdog who tends not to find trouble elsewhere.","The Croatian is alert, energetic, intelligent, biddable, adaptable and always enthusiastic about any job that needs to be done. Needless to say, these traits make them very trainable and eager-to-please. The Croatian Sheepdog is also sensibly suspicious and, therefore, an excellent watchdog."
87,Curly-Coated-Retriever,25-27 inches (male),60-95 pounds,10-12 years,5,5,3,2,1,1,Double-Curly,Short,3,4,4,4,4,4,3,3,162 of 202,Black-Liver,,"The Curly-Coated Retriever, among the oldest of the retriever breeds, is a famously versatile gundog and peerless swimmer. Poised, proud, and wickedly smart, the Curly is a thinking person's retriever who will never quit before you do.
The Curly-Coated Retriever's tight, crisp curls of either black or liver serve as waterproof and thorn-resistant all-weather gear for work in thick bramble and icy lakes. The Curly is a big, durable gun dog, but more elegant and graceful than other retrievers. Another trait that sets Curlies apart from the usual retriever is a tapered, wedge-shaped head.



 Like Labradors and Goldens, Curlies are affectionate and gentle, but they are a bit more independent and less needy. Playful and mischievous with loved ones, Curlies can be aloof with strangers. This wariness makes them more discerning watchdogs than other, more gregarious retrievers. These tireless dogs need lots of outdoor exercise. Bored, underemployed Curlies are a handful.","Owning a dog is not just a privilege; it’s a responsibility. They depend on us for, at minimum, food and shelter, and deserve much more. When you take a dog into your life, you need to understand the commitment that dog ownership entails.
","The majority of Curlies are a healthy breed. Breeders have been very diligent about screening hips, eyes, and the heart. There are some cancer concerns. The breed is also susceptible to gastric dilatation volvulus (GDV), a life-threatening stomach condition also known as bloat. Owners must be aware of the symptoms and take quick action if it occurs.","Curlies do not have an undercoat, and the females will usually shed a fair amount of coat approximately every six months. Females may look relatively bare when not in coat. During shedding season a rake-type grooming tool with metal prongs is good at removing the dead hair, then the coat can be scissored down. The majority of owners never brush a Curly-Coated Retriever, as then the coat frizzes. A wet-down and air-dry is easy to do and often will enhance the curls. The breed does not need to be bathed frequently. As with all breeds, the nails should be trimmed regularly.","Curlies do need a fair amount of exercise but are also wonderful about settling down and relaxing at home. Their home does not need to be a large one as long as they are with their owner and have adequate exercise. The breed is very easy to live with as long as they have been shown their ""good manners"" with basic training. They love to be outside, yet they are very happy to spend time indoors at home with their people. They are not a breed who is good at being left alone for long periods of time.","The owner of a Curly-Coated Retriever needs to be firm but kind in training of the dog. Too rough, and they will turn tail; too soft or unclear, and they will not pay attention. They are an intelligent breed and smart enough to need an owner who is smarter than they are. Two things are helpful to remember regarding training a Curly: First, avoid too much repetition, as the dog may become bored and lose interest. Also, it is important for an owner to try to make the learning situation as much fun as possible. The goal is to make it so that the Curly enjoys what is being taught. Some Curlies do very well in the obedience ring, but for some the repetition of some of the exercises can cause disinterest. Training for fieldwork takes a knowledgeable approach and should not be rough. When new to the breed and interested in starting field training, find a training group in your area with whom you can train, and observe their methods before deciding to join."
